,index,L_PCG,L_SFG,L_MFG,L_IFGop,L_IFGtri,L_IFGorb,L_SMA,L_SFGmedial,L_OFGmedial,L_INS,L_ACCsub,L_ACCpre,L_ACCsup,L_PCC,L_SOG,L_FUS,L_SPG,L_IPG,L_SMG,L_AG,L_STG,L_supTP,L_MTG,L_midTP,L_ITG,R_PCG,R_SFG,R_MFG,R_IFGop,R_IFGtri,R_IFGorb,R_SMA,R_SFGmedial,R_OFGmedial,R_INS,R_ACCsub,R_ACCpre,R_ACCsup,R_PCC,R_SOG,R_FUS,R_SPG,R_IPG,R_SMG,R_AG,R_STG,R_supTP,R_MTG,R_midTP,R_ITG,index,L_PCG,L_SFG,L_MFG,L_IFGop,L_IFGtri,L_IFGorb,L_SMA,L_SFGmedial,L_OFGmedial,L_INS,L_ACCsub,L_ACCpre,L_ACCsup,L_PCC,L_SOG,L_FUS,L_SPG,L_IPG,L_SMG,L_AG,L_STG,L_supTP,L_MTG,L_midTP,L_ITG,R_PCG,R_SFG,R_MFG,R_IFGop,R_IFGtri,R_IFGorb,R_SMA,R_SFGmedial,R_OFGmedial,R_INS,R_ACCsub,R_ACCpre,R_ACCsup,R_PCC,R_SOG,R_FUS,R_SPG,R_IPG,R_SMG,R_AG,R_STG,R_supTP,R_MTG,R_midTP,R_ITG
12,12,50,144,314,152,176,72,28,44,2,68,24,150,30,6,18,26,34,84,120,18,36,108,46,30,94,142,70,144,64,72,40,48,74,16,164,18,46,2,36,88,66,56,110,18,76,132,74,90,48,66,12,5,8,9,9,10,12,6,8,8,11,5,10,9,2,10,8,5,8,11,6,12,11,14,6,8,12,10,11,9,11,9,4,10,8,16,5,9,6,3,10,9,6,5,8,4,13,13,12,8,8
13,13,54,116,96,30,6,0,86,150,26,0,16,74,4,4,14,168,72,44,30,20,170,20,18,6,62,0,186,216,280,96,112,34,230,46,112,46,18,42,0,16,22,96,80,284,124,64,0,288,0,228,13,9,10,5,4,3,1,8,10,3,2,4,10,5,7,8,12,13,9,6,8,8,5,3,4,7,8,10,10,14,7,7,9,13,6,6,4,8,6,6,10,12,12,12,18,11,8,3,10,2,14
14,14,14,184,178,0,88,28,162,244,20,26,96,76,0,24,50,158,14,52,48,136,12,0,194,84,28,38,44,138,160,136,0,50,14,20,148,0,94,26,0,108,302,104,50,48,54,46,120,60,32,204,14,10,13,12,6,8,8,11,11,5,8,2,3,3,5,7,8,6,11,8,9,6,5,11,10,3,12,13,12,9,9,6,8,7,7,11,1,5,7,4,9,9,11,14,9,9,10,9,7,7,8
15,15,0,270,190,0,108,86,30,52,4,22,0,76,28,64,10,30,90,32,0,36,0,56,24,36,8,132,98,18,58,50,0,34,76,62,248,32,44,0,0,8,34,220,86,6,58,198,44,120,58,162,15,3,9,14,0,13,10,5,7,3,9,4,13,4,7,8,8,10,7,2,9,0,5,6,4,5,13,10,8,6,10,8,4,10,4,17,5,11,4,2,11,9,19,12,9,14,15,11,15,9,11
16,16,94,10,60,72,222,34,32,134,24,36,40,78,12,28,0,20,170,0,78,20,78,16,100,64,74,2,170,80,54,148,104,34,4,96,0,0,24,66,2,38,52,288,298,98,288,118,86,106,110,254,16,8,11,9,6,8,4,7,11,4,4,3,10,12,6,6,11,14,6,7,6,8,3,8,8,11,6,13,9,9,7,5,5,11,8,3,6,9,12,3,6,10,12,7,11,11,9,7,7,9,14
17,17,8,56,144,58,80,106,36,176,32,64,32,42,24,54,60,164,186,78,16,96,20,0,150,114,300,18,178,50,140,138,14,2,126,14,0,18,76,14,6,58,58,0,34,32,44,134,8,22,64,42,17,8,11,12,13,12,11,8,16,3,12,6,10,9,11,7,10,11,11,10,13,13,4,14,6,14,9,15,10,18,13,8,6,10,5,7,3,14,7,7,7,11,7,7,9,10,15,8,12,8,9
18,18,86,178,106,12,82,28,100,188,28,4,0,158,122,60,0,148,12,6,22,40,0,30,176,94,178,98,194,182,60,178,124,228,76,48,0,80,164,32,0,100,0,100,88,130,158,0,0,224,52,14,18,16,14,16,9,12,3,10,13,4,3,2,7,9,9,3,7,4,11,12,9,4,4,8,6,10,13,15,12,6,7,4,12,11,9,1,5,8,9,4,8,1,11,10,16,13,1,3,8,4,4
19,19,94,270,336,0,2,0,24,242,0,0,0,66,0,0,0,138,190,2,0,164,0,0,208,84,182,32,146,106,46,66,50,70,154,4,0,0,104,0,0,0,140,66,104,304,324,48,84,182,8,224,19,10,8,8,3,3,1,5,12,5,1,2,9,5,6,3,6,9,4,2,8,1,2,7,5,9,9,8,10,6,5,3,9,11,6,3,0,12,4,6,3,5,6,8,13,11,5,6,5,5,9
20,20,34,14,26,94,136,0,150,48,4,0,36,80,110,0,34,46,52,22,0,66,46,76,88,26,88,88,236,42,216,0,202,234,162,78,0,44,122,0,16,340,282,222,34,224,140,2,20,92,344,370,20,3,6,5,5,6,1,12,9,2,0,3,4,5,6,6,5,12,6,2,8,5,4,6,2,5,9,11,14,12,9,6,10,9,3,2,3,5,3,6,9,7,12,11,12,9,2,2,2,5,7
21,21,66,78,158,12,230,0,0,20,4,188,0,62,0,48,0,0,122,70,22,28,68,0,98,8,54,50,302,86,74,12,96,16,126,6,142,4,36,46,18,50,252,216,78,94,18,130,34,10,168,248,21,20,14,19,10,13,4,11,14,7,7,2,11,8,6,2,2,21,12,10,9,6,6,6,5,8,15,15,17,16,13,10,11,17,7,7,5,15,13,4,13,12,17,13,13,13,8,5,5,10,11
22,22,0,130,0,0,104,60,66,84,66,42,12,162,28,4,104,14,114,188,0,74,20,6,98,126,188,62,178,234,44,142,30,94,68,12,82,0,130,16,0,0,96,30,72,176,102,150,66,88,24,132,22,5,17,13,1,13,11,11,15,7,5,4,9,10,8,11,6,10,8,5,8,8,8,13,9,11,15,18,18,10,10,4,12,14,7,6,3,12,16,9,10,11,12,16,14,14,10,8,10,5,12
23,23,56,92,156,0,102,16,152,134,0,0,0,22,158,0,72,74,70,0,90,146,16,0,106,22,146,88,146,134,208,226,36,102,16,4,32,0,20,98,0,0,56,142,100,444,38,92,126,80,4,264,23,4,11,10,3,6,4,8,11,2,1,6,10,7,0,5,7,6,3,5,6,4,3,8,6,9,6,8,10,8,7,5,7,8,3,3,7,8,6,1,4,9,8,7,11,5,7,8,5,4,12
24,24,24,124,326,128,196,18,70,90,10,8,24,36,16,38,18,100,8,134,128,56,64,58,52,4,44,20,184,284,74,210,170,20,144,28,18,0,66,32,0,68,250,92,18,140,128,24,58,194,36,182,24,5,7,13,9,12,3,5,9,3,2,2,4,5,4,5,4,5,8,4,4,3,2,3,2,3,8,11,13,9,12,8,8,8,4,7,0,5,8,3,5,8,8,6,11,5,5,3,11,5,7
25,25,0,254,116,2,66,0,126,64,36,0,0,76,122,154,60,82,106,166,92,256,0,16,206,22,20,28,44,68,36,90,52,0,236,38,12,0,2,34,0,98,310,4,12,126,16,86,4,220,74,6,25,5,9,8,5,11,3,6,10,5,0,1,12,10,13,7,11,6,10,7,14,2,6,10,11,9,4,7,10,6,6,6,5,10,5,3,1,11,10,6,8,10,5,6,9,8,7,6,12,7,9
26,26,4,312,198,90,24,42,34,40,0,56,0,96,58,14,82,42,34,138,62,302,46,2,104,56,48,54,176,310,76,66,20,50,238,56,8,0,32,8,0,4,0,128,106,160,114,124,54,84,200,46,26,9,11,8,7,4,7,11,11,2,8,1,6,4,4,12,12,7,8,8,7,9,8,10,7,12,13,12,16,9,7,7,12,13,5,6,1,7,6,3,9,10,15,9,13,13,16,5,10,8,12
27,27,64,42,110,2,36,0,4,50,96,64,0,0,0,70,30,34,18,84,34,82,96,0,78,40,38,32,32,190,144,40,42,60,110,248,156,0,200,0,24,106,110,6,252,12,90,252,62,104,40,0,27,14,16,13,8,10,5,15,15,6,12,1,10,8,11,7,10,10,12,9,11,10,7,9,9,10,14,14,18,20,18,10,13,19,9,15,5,17,10,6,11,16,9,17,14,14,13,12,13,12,7
